",,,,,,,,,,,,,,,,,,,,"
"Rk,Team,,,,,,,,,,,,,,,,,,,"
"1,Team,,,,,,,,,,,,,,,,,,,"
"2,Gonzaga 1,,,,,,,,,,,,,,,,,,,"
"3,Michigan St. 2,,,,,,,,,,,,,,,,,,,"
"4,Duke 1,,,,,,,,,,,,,,,,,,,"
"5,Texas Tech 3,,,,,,,,,,,,,,,,,,,"
"6,Michigan 2,,,,,,,,,,,,,,,,,,,"
"7,North Carolina 1,,,,,,,,,,,,,,,,,,,"
"8,Kentucky 2,,,,,,,,,,,,,,,,,,,"
"9,Purdue 3,,,,,,,,,,,,,,,,,,,"
"10,Tennessee 2,,,,,,,,,,,,,,,,,,,"
"11,Auburn 5,,,,,,,,,,,,,,,,,,,"
"12,Houston 3,,,,,,,,,,,,,,,,,,,"
"13,Virginia Tech 4,,,,,,,,,,,,,,,,,,,"
"14,Florida St. 4,,,,,,,,,,,,,,,,,,,"
"15,Iowa St. 6,,,,,,,,,,,,,,,,,,,"
"16,Wisconsin 5,,,,,,,,,,,,,,,,,,,"
"17,Kansas 4,,,,,,,,,,,,,,,,,,,"
"18,Wofford 7,,,,,,,,,,,,,,,,,,,"
"19,LSU 3,,,,,,,,,,,,,,,,,,,"
"20,Kansas St. 4,,,,,,,,,,,,,,,,,,,"
"21,Mississippi St. 5,,,,,,,,,,,,,,,,,,,"
"22,Buffalo 6,,,,,,,,,,,,,,,,,,,"
"23,Louisville 7,,,,,,,,,,,,,,,,,,,"
"24,Maryland 6,,,,,,,,,,,,,,,,,,,"
"25,Texas 2,,,,,,,,,,,,,,,,,,,"
"26,Florida 10,,,,,,,,,,,,,,,,,,,"
"27,Nevada 7,,,,,,,,,,,,,,,,,,,"
"28,Oregon 12,,,,,,,,,,,,,,,,,,,"
"29,Cincinnati 7,,,,,,,,,,,,,,,,,,,"
"30,Villanova 6,,,,,,,,,,,,,,,,,,,"
"31,Saint Mary's 11,,,,,,,,,,,,,,,,,,,"
"32,Oklahoma 9,,,,,,,,,,,,,,,,,,,"
"33,Marquette 5,,,,,,,,,,,,,,,,,,,"
"34,UCF 9,,,,,,,,,,,,,,,,,,,"
"35,Baylor 9,,,,,,,,,,,,,,,,,,,"
"36,Clemson 2,,,,,,,,,,,,,,,,,,,"
"37,Iowa 10,,,,,,,,,,,,,,,,,,,"
"38,Utah St. 8,,,,,,,,,,,,,,,,,,,"
"39,Syracuse 8,,,,,,,,,,,,,,,,,,,"
"40,TCU 1,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,"
"Rk,Team,,,,,,,,,,,,,,,,,,,"
"41,N.C. State 2,,,,,,,,,,,,,,,,,,,"
"42,VCU 8,,,,,,,,,,,,,,,,,,,"
"43,Penn St.,,,,,,,,,,,,,,,,,,,"
"44,Ohio St. 11,,,,,,,,,,,,,,,,,,,"
"45,Lipscomb 5,,,,,,,,,,,,,,,,,,,"
"46,Minnesota 10,,,,,,,,,,,,,,,,,,,"
"47,Nebraska 4,,,,,,,,,,,,,,,,,,,"
"48,Washington 9,,,,,,,,,,,,,,,,,,,"
"49,Belmont 11,,,,,,,,,,,,,,,,,,,"
"50,Mississippi 8,,,,,,,,,,,,,,,,,,,"
"51,Murray St. 12,,,,,,,,,,,,,,,,,,,"
"52,Indiana 1,,,,,,,,,,,,,,,,,,,"
"53,New Mexico St. 12,,,,,,,,,,,,,,,,,,,"
"54,Arkansas 5,,,,,,,,,,,,,,,,,,,"
"55,Creighton 2,,,,,,,,,,,,,,,,,,,"
"56,Memphis 3,,,,,,,,,,,,,,,,,,,"
"57,Arizona St. 11,,,,,,,,,,,,,,,,,,,"
"58,Liberty 12,,,,,,,,,,,,,,,,,,,"
"59,Furman 3,,,,,,,,,,,,,,,,,,,"
"60,Seton Hall 10,,,,,,,,,,,,,,,,,,,"
"61,Toledo 6,,,,,,,,,,,,,,,,,,,"
"62,Dayton 5,,,,,,,,,,,,,,,,,,,"
"63,Colorado 4,,,,,,,,,,,,,,,,,,,"
"64,Alabama 1,,,,,,,,,,,,,,,,,,,"
"65,Xavier 3,,,,,,,,,,,,,,,,,,,"
"66,Wichita St. 6,,,,,,,,,,,,,,,,,,,"
"67,San Francisco,,,,,,,,,,,,,,,,,,,"
"68,Missouri,,,,,,,,,,,,,,,,,,,"
"69,Temple 11,,,,,,,,,,,,,,,,,,,"
"70,South Carolina,,,,,,,,,,,,,,,,,,,"
"71,Fresno St.,,,,,,,,,,,,,,,,,,,"
"72,Butler 5,,,,,,,,,,,,,,,,,,,"
"73,UC Irvine 13,,,,,,,,,,,,,,,,,,,"
"74,Northwestern,,,,,,,,,,,,,,,,,,,"
"75,Miami FL,,,,,,,,,,,,,,,,,,,"
"76,Vermont 13,,,,,,,,,,,,,,,,,,,"
"77,Yale 14,,,,,,,,,,,,,,,,,,,"
"78,Rutgers,,,,,,,,,,,,,,,,,,,"
"79,Providence 4,,,,,,,,,,,,,,,,,,,"
"80,East Tennessee St.,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,"
"Rk,Team,,,,,,,,,,,,,,,,,,,"
"81,Oregon St.,,,,,,,,,,,,,,,,,,,"
"82,USC,,,,,,,,,,,,,,,,,,,"
"83,Oklahoma St.,,,,,,,,,,,,,,,,,,,"
"84,Illinois,,,,,,,,,,,,,,,,,,,"
"85,Davidson 4,,,,,,,,,,,,,,,,,,,"
"86,BYU,,,,,,,,,,,,,,,,,,,"
