,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,player_clean
41316,A'Torey Everett,Tennessee St.,OVC,23,19.0,88.0,15.7,40.5,50.08,1.6,8.1,14.5,30.6,18,23,0.783,9,30,0.3,4,7,0.571,0.6,0.3,62.2,So,4-Jun,23,-0.209268,80.4719,5.5,2017,47747,all,,0.89465705,4.0,10.0,5.0,21.0,0.4,0.2381,0.0,0.0,,,105.146,105.77,0.750191,30.3809,-6.40612,-4.92882,-1.4773,-6.51514,9.7083,-5.63316,-0.88198,0.125,0.75,0.875,0.7083,0.0833,0.0417,2.4167,Combo G,1.87827,a'torey everett
30166,A'Torri Shine,Grambling St.,SWAC,27,78.2,90.2,23.5,44.9,47.61,3.4,9.4,8.4,17.2,44,60,0.733,76,177,0.429,44,139,0.317,0.5,1.6,19.0,Sr,6-Jun,1,0.522777,90.2165,2.6,2015,32648,all,,0.4138,28.0,46.0,48.0,132.0,0.6087,0.3636,1.0,3.0,0.3333,,113.119,119.166,0.894462,124.589,-7.02713,-2.50144,-4.5257,-4.68909,31.5862,-1.25549,-3.43359,0.931,2.6207,3.5517,0.8276,0.8966,0.1724,12.7586,Wing G,10.0323,a'torri shine
22005,A'Uston Calhoun,Bowling Green,MAC,30,83.8,99.9,25.5,47.1,51.5,7.8,16.8,5.7,15.5,90,113,0.796,155,336,0.461,19,54,0.352,1.5,0.7,29.0,Sr,7-Jun,15,2.56265,105.944,2.3,2013,26838,all,,0.36922511,79.0,122.0,69.0,196.0,0.6475,0.352,24.0,25.0,0.96,,101.503,102.012,2.77794,157.168,-3.12361,-1.28575,-1.83786,-1.06503,34.0667,0.949586,-2.01462,2.2667,4.7667,7.0333,0.8,0.3667,0.4667,15.2333,Wing F,3.28661,a'uston calhoun
18055,A'uston Calhoun,Bowling Green,MAC,31,72.8,101.8,25.4,47.9,51.26,9.4,15.4,5.0,15.0,76,107,0.71,162,333,0.486,5,21,0.238,1.5,1.0,30.2,Jr,7-Jun,15,2.51158,109.214,3.0,2012,26838,all,,0.35715474,94.0,143.0,68.0,190.0,0.6573,0.3579,22.0,24.0,0.9167,,101.58,100.972,2.56317,143.776,-2.27858,-0.695114,-1.58347,-0.89729,29.2258,0.743714,-1.641,2.2903,3.5806,5.871,0.6452,0.4839,0.3871,13.3871,Wing F,1.42784,a'uston calhoun
46332,A.C. Reid,Tennessee St.,OVC,8,6.4,22.6,13.9,7.1,7.14,0.0,6.9,5.2,5.9,0,0,0.0,0,0,0.0,1,21,0.048,2.0,0.8,0.0,Sr,5-Jun,11,-2.05525,20.511,2.7,2018,52011,all,,1.3333333,0.0,0.0,0.0,0.0,,,0.0,0.0,,,105.97,101.773,0.84974,10.6084,-10.8,-8.73331,-2.06671,-12.3438,10.2,-10.0447,-2.29906,0.0,0.7,0.7,0.4,0.2,0.1,1.2,Combo G,17.2882,ac reid
1602,A.D. Vassallo,Virginia Tech,ACC,34,89.8,111.8,25.0,53.0,56.5,4.4,14.7,16.7,16.1,101,121,0.835,149,290,0.514,83,226,0.367,2.5,1.3,23.4,Sr,6-Jun,,4.87368,123.36,2.4,2009,2962,all,30.4,1.03528004,,,,,,,,,,,103.134,97.5763,3.57685,217.562,5.65291,4.86383,0.789076,6.48993,36.5882,6.18426,0.305665,1.3824,4.8235,6.2059,2.5882,0.8235,0.8529,19.0588,,10.6749,ad vassallo
2055,A.J. Abrams,Texas,B12,35,93.5,116.0,19.0,50.7,54.32,1.2,5.3,6.9,11.2,89,105,0.848,88,219,0.402,105,265,0.396,0.3,2.1,21.7,Sr,11-May,,4.53955,119.229,2.1,2009,3789,all,79.2,0.95836367,,,,,,,,,,,101.488,94.625,4.10845,196.48,6.14693,5.34488,0.802044,6.00635,37.6857,4.2687,1.73764,0.4,1.8286,2.2286,1.3143,1.3429,0.1143,16.5714,,11.7975,aj abrams
42143,A.J. Astroth,Hampton,MEAC,5,4.0,59.2,9.6,14.3,18.87,6.1,23.3,5.7,21.7,1,2,0.5,1,6,0.167,0,1,0.0,3.8,1.0,28.6,Sr,6-Jun,20,-1.48908,46.1853,6.2,2018,33934,all,58.8,1.0,1.0,3.0,0.0,3.0,0.3333,0.0,0.0,0.0,,,99.6226,100.284,1.05246,12.0726,-6.49214,-7.73885,1.24671,-7.73772,12.2857,-7.2505,-0.487227,1.0,2.8571,3.8571,0.5714,0.4286,0.5714,5.0,PF/C,1.02709,aj astroth
28765,A.J. Avery,Western Michigan,MAC,26,21.0,98.6,18.2,37.5,44.39,15.2,20.2,2.9,13.6,25,41,0.61,21,56,0.375,0,0,0.0,7.4,0.9,73.2,Jr,6-Jun,34,0.365557,95.521,5.9,2015,26124,all,,0.25008752,10.0,18.0,11.0,38.0,0.5556,0.2895,3.0,3.0,1.0,,103.602,102.819,0.888168,52.1469,-3.07613,-3.32325,0.247119,-3.06154,10.3571,-1.97807,-1.08347,1.3214,1.6071,2.9286,0.1429,0.1429,0.5714,2.5357,PF/C,0.0,aj avery
54290,A.J. Banks,Wyoming,MWC,32,58.0,90.5,14.1,53.7,56.73,1.0,12.4,16.3,28.6,32,47,0.681,39,76,0.513,13,33,0.394,1.5,1.5,43.1,Sr,2-Jun,2.0,-0.179494,83.1111,3.4,2020,67895,all,,1.09614171,28.0,50.0,11.0,26.0,0.56,0.4231,7.0,8.0,0.875,,103.547,100.061,2.19584,131.1,-2.24098,-3.73834,1.49735,-2.63311,23.6364,-3.51928,0.886172,0.2121,2.5152,2.7273,1.7273,0.6667,0.303,4.8788,Combo G,2.61327,aj banks
46482,A.J. Bowers,Chattanooga,SC,12,4.3,123.3,4.5,50.0,67.8,6.5,11.9,0.0,23.9,2,2,1.0,1,1,1.0,0,1,0.0,4.0,1.1,100.0,Fr,5-Jun,13,0.143164,96.6371,6.5,2018,52305,all,,0.50017504,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,,,108.908,110.034,0.302455,9.45857,-5.0265,-3.84094,-1.18556,-4.96552,5.2857,-4.97747,0.0119526,0.3571,0.6429,1.0,0.1429,0.0714,0.1429,0.5714,Wing F,1.09549,aj bowers
55686,A.J. Burch,St. Francis PA,NEC,6,0.6,11.1,20.0,0.0,16.95,0.0,42.5,0.0,73.3,1,2,0.5,0,2,0.0,0,0,0.0,0.0,0.0,100.0,Fr,9-May,14.0,-0.344629,10.8535,0.0,2020,71686,all,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,97.4255,103.245,0.111482,1.84141,-28.8084,-22.843,-5.96538,-51.6141,2.0,-34.8047,-16.8094,0.0,0.7143,0.7143,0.0,0.0,0.0,0.2857,PF/C,0.0,aj burch
61500,A.J. Caldwell,Chattanooga,SC,24,80.2,103.1,11.4,52.7,51.94,1.6,14.9,13.7,17.2,4,12,0.333,15,41,0.366,36,90,0.4,1.3,2.1,9.2,Sr,5-Jun,0,0.369209,88.5722,2.1,2022,51265,all,19.4,2.32147831,11.0,24.0,4.0,17.0,0.4583,0.2353,0.0,0.0,,,101.192,101.729,2.84178,145.176,2.05866,-0.0340937,2.09275,0.551171,32.6923,-0.719986,1.27116,0.5,4.2308,4.7308,2.5,1.1538,0.3462,6.3846,Combo G,6.81823,aj caldwell
52204,A.J. Cheeseman,Maryland Eastern Shore,MEAC,27,48.1,93.5,26.9,43.9,49.6,8.5,17.5,7.7,15.8,78,110,0.709,97,213,0.455,3,18,0.167,3.1,1.0,47.6,Sr,7-Jun,0.0,0.99362,98.3243,4.7,2020,48377,all,,0.33331387,72.0,123.0,25.0,89.0,0.5854,0.2809,4.0,6.0,0.6667,,103.697,110.47,1.29113,109.502,-6.04079,-3.73194,-2.30885,-4.01566,22.1786,-1.71414,-2.30152,1.8571,3.3571,5.2143,0.5714,0.3929,0.6429,10.3214,PF/C,1.73492,aj cheeseman
