player_name_clean,year,team,conf,yr,Unnamed_64,was_drafted,draft_pick,is_diamond,raptor_total_mean,war_total_sum,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,num,porpag,adjoe,pfr,year_1,Rec_Rank,ast_tov,rimmade,rimmade_rimmiss,midmade,midmade_midmiss,rimmade_rimmade_rimmiss,midmade_midmade_midmiss,dunksmade,dunksmiss_dunksmade,dunksmade_dunksmade_dunksmiss,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed_65,pts_improvement,pts_total_improvement,treb_improvement,treb_total_improvement,ast_improvement,ast_total_improvement,TS_per_improvement,TS_per_total_improvement,bpm_improvement,bpm_total_improvement,Min_per_improvement,Min_per_total_improvement,usg_improvement,usg_total_improvement,pts_career_avg,treb_career_avg,ast_career_avg,TS_per_career_avg,bpm_career_avg,Min_per_career_avg,usg_career_avg,years_in_college,ppg,rpg,apg,spg,bpg,orpg,drpg,per,tsa,usage_rate,ast_to_ratio,offensive_rating,ts_pct,efg_pct,two_pt_pct,two_pt_rate,three_pt_pct,three_pt_rate,three_pt_made_per_game,ft_pct,ft_rate,ft_made_per_game,rim_pct,mid_pct,dunk_pct,orb_rate,drb_rate,total_reb_rate,reb_dominance,stl_rate,blk_rate,defensive_rating,adj_defensive_rating,defensive_contrib,height_inches,class_year_numeric,is_freshman,is_sophomore,is_junior,is_senior,years_played,is_major_conf,conf_avg_offense,conf_avg_defense,conf_avg_bpm,pos_C,pos_Combo_G,pos_PF_C,pos_Pure_PG,pos_Scoring_PG,pos_Stretch_4,pos_Wing_F,pos_Wing_G,games_played_pct,is_starter,mpg,total_minutes,scoring_versatility,well_rounded_score,efficiency_composite,predicted_drafted_proba,predicted_drafted,predicted_pick,model_predicted_low,is_model_diamond
Austin Reaves,2021,Oklahoma,B12,Sr,Combo G,0,29.0,True,0.4129260058122228,0.2238556962294207,25,78.7,110.9,28.4,49.4,57.88,2.8,15.1,27.0,17.7,147,170,0.865,107,209,0.512,32,105,0.305,1.0,1.5,54.1,12.0,5.15228,128.965,1.9,2021,55.6,1.54666662,59.0,96.0,48.0,113.0,0.6146,0.4248,2.0,3.0,0.6667,101.794,96.7477,3.59621,153.335,5.74304,4.89766,0.845381,6.36497,34.48,5.54387,0.821101,0.84,4.64,5.48,4.64,0.92,0.32,18.28,7.05509,3.570300000000002,14.2194,0.1897000000000002,3.6921,1.6399999999999997,3.5187999999999997,5.8700000000000045,-6.189999999999991,1.9135799999999996,-1.9230800000000008,-4.3999999999999915,50.8,2.799999999999997,12.9,11.2853,3.91985,2.697875,59.1075,5.5309,60.724999999999994,21.575,4,0.7312000000000001,0.2192,0.1856,0.0368,0.0128,0.0336,0.1856,0.0150647264816951,388.8,28.4,1.5254237288135597,110.9,57.88,49.4,0.512,0.6655838986019553,0.305,0.3343842552784943,1.28,0.865,54.1,5.88,0.6146,0.4248,0.6667,2.8,15.1,17.9,0.0027852604828462,1.5,1.0,101.794,96.7477,0.0496,76.0,4.0,0,0,0,1,4,1,99.40220383513908,95.92017496339678,1.3750968510980963,0,1,0,0,0,0,0,0,0.7142857142857143,1,78.7,1967.5,2,0.02408,0.6248088587570623,0.06617691328336728,0,,True,True
Ayo Dosunmu,2021,Illinois,B10,Jr,Combo G,1,38.0,True,4.895107822037483,0.2952210183947814,28,78.4,110.8,29.4,52.6,56.64,3.9,15.8,29.2,18.0,112,143,0.783,178,347,0.513,32,83,0.386,0.6,1.8,33.3,11.0,5.51004,131.045,2.4,2021,93.8,1.58065879,113.0,173.0,65.0,175.0,0.6532,0.3714,10.0,10.0,1.0,95.7054,88.8015,4.62736,194.087,8.56789,5.21167,3.35622,8.2811,35.1429,5.92089,2.36021,1.1071,5.2143,6.3214,5.25,1.1071,0.2143,20.1429,4.72946,3.5428999999999995,6.330400000000001,1.988099999999999,2.3213999999999997,1.9167,2.0,2.4299999999999997,3.910000000000004,4.2027600000000005,4.79063,-3.1999999999999886,3.6000000000000085,3.8999999999999986,5.599999999999998,16.8518,4.8849,3.944433333333333,54.526666666666664,5.570093333333333,78.26666666666667,26.233333333333334,3,0.7193892857142857,0.2257642857142857,0.1875,0.0395392857142857,0.0076535714285714,0.0395392857142857,0.186225,0.0150489930348349,492.92,29.4,1.6222222222222222,110.8,56.64,52.6,0.513,0.8069579777214484,0.386,0.1930187670054184,1.1428571428571428,0.783,33.3,4.0,0.6532,0.3714,1.0,3.9,15.8,19.7,0.0028796465014577,1.8,0.6,95.7054,88.8015,0.0471928571428571,76.0,3.0,0,0,1,0,3,1,95.86980244727272,94.40784193939392,1.5600026573333332,0,1,0,0,0,0,0,0,0.8,1,78.4,2195.2000000000003,3,0.0239284642857142,0.6785117469135802,0.9253099382496679,1,30.6611967847979,True,True
Charles Brown III,2019,Incarnate Word,Slnd,Sr,Wing G,0,29.0,True,6.350950023,0.189185564,25,53.2,104.6,23.6,59.0,62.49,3.2,13.3,9.9,21.0,44,51,0.863,82,132,0.621,22,63,0.349,0.0,1.5,26.2,13.0,1.58407,107.328,4.8,2019,55.6,0.46154704,56.0,79.0,26.0,53.0,0.7089,0.4906,2.0,2.0,1.0,118.539,120.522,0.71246,85.6866,-5.39664,-0.166992,-5.22965,-3.6545,22.0345,-0.148018,-3.50649,0.4828,2.2069,2.6897,0.8276,0.5172,0.0,10.7931,6.51099,-2.706899999999999,-2.706899999999999,-2.5026,-2.5026,-0.3646999999999999,-0.3646999999999999,7.609999999999999,7.609999999999999,-0.80417,-0.80417,-20.200000000000003,-20.200000000000003,0.8000000000000007,0.8000000000000007,12.14655,3.941,1.00995,58.685,-4.994555,63.3,23.200000000000003,2,0.431724,0.107588,0.033104,0.0206879999999999,0.0,0.019312,0.088276,0.0111484876053563,217.44,23.6,0.4714285714285714,104.6,62.49,59.0,0.621,0.6768883646992462,0.349,0.3230603558791857,0.88,0.863,26.2,1.76,0.7089,0.4906,1.0,3.2,13.3,16.5,0.0020223308270676,1.5,0.0,118.539,120.522,0.0206879999999999,76.0,4.0,0,0,0,1,2,0,85.29455799506293,107.57405367248062,-4.563291830590513,0,0,0,0,0,0,0,1,0.7142857142857143,1,53.2,1330.0,2,0.00986196,0.337403619047619,0.0023997605980935954,0,,True,True
Cody Martin,2019,Nevada,MWC,Sr,Scoring PG,1,36.0,True,1.6896050603501969,4.090116068429047,34,86.1,119.0,18.4,56.4,59.58,3.0,11.1,25.6,16.7,74,97,0.763,117,203,0.576,34,95,0.358,2.3,2.2,32.6,11.0,3.59768,117.562,2.9,2019,85.6,2.57803864,73.0,102.0,44.0,101.0,0.7157,0.4356,14.0,15.0,0.9333,95.2508,93.9723,4.24096,231.781,6.17052,3.51245,2.65807,6.08489,34.4412,3.0644,3.02049,0.9118,3.5294,4.4412,4.8529,1.3529,0.7059,12.0588,4.54837,-1.9968000000000004,8.637699999999999,-1.8087999999999995,2.4412000000000003,0.1585,3.6424,2.6999999999999957,11.129999999999995,-1.6141899999999998,1.8332799999999991,0.5,71.19999999999999,-3.1000000000000014,-3.8000000000000007,8.89145,4.2637,3.257625,53.7375,5.550195,62.625,19.35,4,0.3546705882352941,0.1306235294117647,0.1427323529411764,0.0397911764705882,0.0207617647058823,0.0268176470588235,0.1038058823529411,0.0079974106804308,340.68,18.4,1.532934131736527,119.0,59.58,56.4,0.576,0.6811851951276803,0.358,0.3187812489513775,1.0,0.763,32.6,2.176470588235294,0.7157,0.4356,0.9333,3.0,11.1,14.1,0.0015171141627382,2.2,2.3,95.2508,93.9723,0.0605529411764705,76.0,4.0,0,0,0,1,4,1,92.93598795833331,100.93951789617486,-1.2958425583333335,0,0,0,0,1,0,0,0,0.9714285714285714,1,86.1,2927.3999999999996,3,0.0179237647058823,0.6384346813040586,0.4522741039671252,0,43.40136896666889,True,True
Dalano Banton,2021,Nebraska,B10,So,Stretch 4,1,46.0,True,3.526804219833936,0.29813018022053,26,68.4,92.6,22.8,44.6,48.63,3.7,18.4,27.5,21.9,56,84,0.667,66,133,0.496,19,79,0.241,3.6,1.9,39.6,45.0,1.5723,101.812,3.1,2021,81.8,1.56715703,44.0,73.0,22.0,60.0,0.6027,0.3667,3.0,5.0,0.6,100.274,92.6329,3.28808,153.221,4.53524,0.503364,4.03187,3.9687,27.2593,1.32237,2.64633,1.0,4.8889,5.8889,3.8889,0.963,0.9259,9.5556,6.0565,6.1685,6.1685,2.9212,2.9212,1.7921,1.7921,2.039999999999999,2.039999999999999,5.67035,5.67035,34.400000000000006,34.400000000000006,3.1999999999999993,3.1999999999999993,6.47135,4.4283,2.99285,47.61,1.700065,51.2,21.200000000000003,2,0.3675230769230769,0.2264961538461538,0.1495730769230769,0.0370384615384615,0.0356115384615384,0.0384615384615384,0.1880346153846153,0.011933299970198,248.96,22.8,1.2557077625570776,92.6,48.63,44.6,0.496,0.6273288995802085,0.241,0.3726239328333569,0.7307692307692307,0.667,39.6,2.1538461538461537,0.6027,0.3667,0.6,3.7,18.4,22.1,0.0033113472784525,1.9,3.6,100.274,92.6329,0.0726499999999999,76.0,2.0,0,1,0,0,2,1,95.86980244727272,94.40784193939392,1.5600026573333332,0,0,0,0,0,1,0,0,0.7428571428571429,1,68.4,1778.4,1,0.0214530769230769,0.5438770847285642,0.7452183191155612,1,44.21999532161048,True,True
Daniel Gafford,2019,Arkansas,SEC,So,C,1,38.0,True,1.1966259838227389,3.586984921354407,32,67.0,112.3,25.2,65.9,65.11,11.2,22.7,6.0,18.2,114,193,0.591,213,323,0.659,0,0,0.0,8.4,1.8,59.8,10.0,3.78329,125.761,3.8,2019,92.4,0.30265264,182.0,224.0,31.0,99.0,0.8125,0.3131,86.0,91.0,0.9451,95.1262,90.6895,3.82935,217.448,6.45392,2.10357,4.35035,7.27672,28.6875,5.11414,2.16258,2.8438,5.8125,8.6562,0.7188,0.9062,1.9688,16.875,0.0,5.074999999999999,5.074999999999999,2.4848,2.4848,0.0331,0.0331,5.68,5.68,-1.2323899999999997,-1.2323899999999997,11.200000000000005,11.200000000000005,1.3999999999999986,1.3999999999999986,14.3375,7.4138,0.70225,62.27,7.0701149999999995,61.4,24.5,2,0.52734375,0.27050625,0.0224625,0.02831875,0.061525,0.08886875,0.181640625,0.0135843582819109,407.92,25.2,0.3296703296703296,112.3,65.11,65.9,0.659,0.9999690412061546,0.0,0.0,0.0,0.591,59.8,3.5625,0.8125,0.3131,0.9451,11.2,22.7,33.9,0.0040374067164179,1.8,8.4,95.1262,90.6895,0.08984375,76.0,2.0,0,1,0,0,2,1,94.01291170199778,96.98600367483296,0.82669820954495,1,0,0,0,0,0,0,0,0.9142857142857144,1,67.0,2144.0,1,0.0205664375,0.52789536996337,0.9209017479426725,1,19.1821260933103,False,False
DeJon Jarreau,2021,Houston,Amer,Sr,Scoring PG,0,29.0,True,7.233509939615241,0.0050576229408669,31,70.6,108.5,23.5,48.9,52.35,4.9,16.4,29.3,22.0,64,91,0.703,86,181,0.475,31,90,0.344,2.4,2.7,33.6,3.0,3.22812,118.177,3.6,2021,89.6,1.79728538,42.0,73.0,44.0,108.0,0.5753,0.4074,6.0,6.0,1.0,88.292,86.41,4.00515,177.428,7.53878,3.84892,3.68986,7.52932,28.2581,3.94722,3.5821,1.2581,4.129,5.3871,4.2903,1.2581,0.5484,10.6129,6.28312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6129,5.3871,4.2903,52.35,7.53878,70.6,23.5,1,0.3423516129032258,0.1737774193548387,0.1383967741935484,0.0405838709677419,0.0176903225806451,0.0405838709677419,0.1331935483870967,0.0100962711492682,311.04,23.5,1.3318181818181818,108.5,52.35,48.9,0.475,0.6678720342422789,0.344,0.3320910667503044,1.0,0.703,33.6,2.064516129032258,0.5753,0.4074,1.0,4.9,16.4,21.299999999999997,0.002461436534771,2.7,2.4,88.292,86.41,0.0582741935483871,76.0,4.0,0,0,0,1,1,1,91.6297160968064,98.82074710578844,-1.3494654568862274,0,0,0,0,1,0,0,0,0.8857142857142857,1,70.6,2188.6,1,0.0182623548387096,0.6147927979797979,0.7962793254179825,1,,False,False
Devon Dotson,2020,Kansas,B12,So,Scoring PG,0,29.0,True,14.03219586,0.424086108,29,84.2,114.1,26.3,51.1,57.41,1.9,10.5,23.3,15.9,140,169,0.828,140,261,0.536,35,116,0.302,0.3,3.6,44.8,1.0,5.75034,132.892,2.0,2020,96.0,1.64385812,123.0,192.0,17.0,69.0,0.6406,0.2464,0.0,0.0,1.0,89.9735,85.6658,5.03973,201.924,8.91698,6.08648,2.83051,9.97168,34.8667,5.80861,4.16308,0.5667,3.5,4.0667,4.0,2.1,0.1,18.1333,6.71176,5.855499999999999,5.855499999999999,0.3999999999999999,0.3999999999999999,0.4721999999999999,0.4721999999999999,-1.5500000000000045,-1.5500000000000045,3.0472600000000005,3.0472600000000005,4.0,4.0,6.5,6.5,15.20555,3.8667,3.7639,58.185,7.39335,82.2,23.05,2,0.6252862068965517,0.1402310344827586,0.1379310344827586,0.0724137931034482,0.0034482758620689,0.0195413793103448,0.1206896551724138,0.0116307165586184,451.36,26.3,1.4654088050314469,114.1,57.41,51.1,0.536,0.6922893291955121,0.302,0.3076841463091165,1.206896551724138,0.828,44.8,4.827586206896552,0.6406,0.2464,0.0,1.9,10.5,12.4,0.0016654517159472,3.6,0.3,89.9735,85.6658,0.0758620689655172,76.0,2.0,0,1,0,0,2,1,99.40220383513908,95.92017496339678,1.3750968510980963,0,0,0,0,1,0,0,0,0.8285714285714286,1,84.2,2441.8,2,0.0221609310344827,0.6694728672257163,0.9161278497178796,1,,False,False
Duane Washington Jr.,2021,Ohio St.,B10,Jr,Combo G,0,29.0,True,15.89331936291454,0.0386120569478861,31,79.4,107.7,25.9,51.7,55.08,0.6,11.1,18.8,15.3,76,91,0.835,82,179,0.458,89,238,0.374,0.1,0.8,21.8,4.0,4.21488,123.481,2.0,2021,66.6,1.34326562,50.0,92.0,32.0,87.0,0.5435,0.3678,2.0,2.0,1.0,108.213,100.575,2.942,147.207,4.18031,5.36115,-1.18084,4.75638,32.1613,5.53228,-0.775908,0.1613,3.2258,3.3871,2.9032,0.4194,0.0323,16.3548,14.0928,4.890500000000001,9.3548,0.6371000000000002,0.9014000000000002,1.4746,1.8461,0.9499999999999956,8.350000000000001,1.3755400000000004,5.7503400000000005,23.500000000000007,36.60000000000001,2.8999999999999986,1.6999999999999993,11.606366666666666,2.8742666666666667,1.7962999999999998,51.98,1.805016666666667,59.36666666666667,24.366666666666664,3,0.5275741935483871,0.1092612903225806,0.0936516129032258,0.0135290322580645,0.0010419354838709,0.0052032258064516,0.104058064516129,0.009383564704783,457.04,25.9,1.2287581699346406,107.7,55.08,51.7,0.458,0.4292463010479365,0.374,0.5707297187117815,2.870967741935484,0.835,21.8,2.4516129032258065,0.5435,0.3678,1.0,0.6,11.1,11.7,0.0013760867798813,0.8,0.1,108.213,100.575,0.0145709677419354,76.0,3.0,0,0,1,0,3,1,95.86980244727272,94.40784193939392,1.5600026573333332,0,1,0,0,0,0,0,0,0.8857142857142857,1,79.4,2461.4,3,0.012664129032258,0.5564671855482933,0.5071022213767827,1,,False,False
Garrison Mathews,2019,Lipscomb,ASun,Sr,Wing G,0,29.0,True,2.7999503354999997,2.8614461330000003,35,74.6,113.9,28.4,55.6,61.58,2.6,17.4,12.9,14.3,180,210,0.857,99,202,0.49,112,278,0.403,0.9,1.4,43.8,24.0,4.03519,126.444,2.5,2019,55.6,0.85366837,55.0,97.0,43.0,104.0,0.567,0.4135,6.0,6.0,1.0,97.241,97.8277,3.27393,210.111,4.14348,4.54479,-0.401311,6.59808,29.2432,6.43014,0.167943,0.6757,4.6486,5.3243,1.8919,0.8108,0.2432,20.3243,14.3122,-1.3423999999999978,9.0985,-0.1302000000000003,1.8082000000000005,0.1342999999999998,0.4079999999999999,0.019999999999996,6.509999999999998,0.6077400000000002,3.938616,-1.4000000000000057,23.09999999999999,0.8999999999999986,3.0,18.39795,4.972175,1.85365,59.5225,2.4829435,70.325,27.225,4,0.5806942857142857,0.1521228571428571,0.0540542857142857,0.0231657142857142,0.0069485714285714,0.0193057142857142,0.1328171428571428,0.0109515091861003,572.4,28.4,0.902097902097902,113.9,61.58,55.6,0.49,0.4208245661548718,0.403,0.5791546009458136,3.2,0.857,43.8,5.142857142857143,0.567,0.4135,1.0,2.6,17.4,20.0,0.0020391803906549,1.4,0.9,97.241,97.8277,0.0301142857142857,76.0,4.0,0,0,0,1,4,0,82.50828812639517,107.19042009063445,-5.135093121206637,0,0,0,0,0,0,0,1,1.0,1,74.6,2611.0,3,0.014023,0.5412244335664336,0.14344092765028266,0,,True,True
