feature,importance
dporpag,143418.94269657135
bpm_career_avg,47295.14086484909
class_year_numeric,15191.152044296265
gbpm,13847.30976676941
pts_career_avg,7152.502728939056
treb_career_avg,6932.448498725891
treb_total_improvement,5864.114475250244
Rec_Rank,5573.8905963897705
porpag,3697.612371444702
ast_to_ratio,3449.4730262756348
years_in_college,2677.827636241913
usg_total_improvement,2669.748441696167
twoPM,2556.469337463379
pts,2414.9621772766113
usg_career_avg,2338.8562955856323
rim_pct,2241.87922000885
reb_dominance,2191.870677947998
per,2188.000376701355
dunksmiss_plus_dunksmade,2140.427119255066
Min_per_improvement,2042.7730855941772
usg_improvement,1826.510585784912
conf_avg_defense,1671.6895198822021
TPM,1654.9117164611816
twoP_per,1649.9245748519897
ast_div_tov,1395.4400959014893
bpm_total_improvement,1319.4121112823486
dunksmade,1254.2013845443726
ftr,1232.296233177185
twoPA,1175.003722190857
blk,1131.503098487854
conf_avg_offense,1127.5767040252686
TO_per,1027.7213945388794
Ortg,960.6303281784058
dgbpm,933.4747400283813
conf_avg_bpm,902.358699798584
total_minutes,875.4135732650757
stops,874.5763583183289
Min_per_career_avg,820.7882061004639
pfr,767.3586006164551
ast_improvement,631.4011936187744
tsa,627.6988492012024
years_played,616.7767782211304
usg,556.3838996887207
eFG,552.9386758804321
num,537.2199945449829
FTM,535.8619985580444
bpm,535.04270362854
TS_per_total_improvement,532.2697048187256
ast,528.5900316238403
AST_per,497.8616786003113
total_reb_rate,495.5475606918335
rimmade_div_rimmade_plus_rimmiss,484.6211938858032
bpm_improvement,474.61409854888916
stl,460.4518265724182
bpg,450.90991592407227
midmade_plus_midmiss,450.87847089767456
adrtg,435.09069633483887
TS_per_career_avg,429.0541982650757
spg,421.2565460205078
year,419.6185083389282
pts_total_improvement,418.1007080078125
ast_career_avg,398.84674549102783
midmade_div_midmade_plus_midmiss,385.6477041244507
adjoe,374.181604385376
drtg,365.09935903549194
Min_per,361.37749671936035
ogbpm,361.1957950592041
two_pt_rate,349.96630001068115
TPA,349.86112356185913
rimmade,343.1525225639343
dbpm,342.970253944397
defensive_contrib,340.51130962371826
well_rounded_score,333.25520420074463
ft_made_per_game,331.9874849319458
pts_improvement,321.60193395614624
dunksmade_div_dunksmade_plus_dunksmiss,295.793004989624
dunk_pct,294.3148994445801
ast_total_improvement,291.92598819732666
DRB_per,277.4835948944092
TS_per,271.7523012161255
three_pt_made_per_game,271.5239009857178
TP_per,265.21098804473877
obpm,264.1046028137207
apg,247.67125129699707
GP,240.8693037033081
stl_per,232.986750125885
FT_per,221.7321195602417
three_pt_rate,216.33870315551758
treb_improvement,215.1638960838318
mid_pct,209.45877838134766
ORB_per,207.41499996185303
efficiency_composite,202.02955770492554
dreb,201.9186601638794
orpg,188.44056034088135
usage_rate,179.87999725341797
offensive_rating,173.97179412841797
is_senior,170.50399494171143
Min_per_total_improvement,151.0343894958496
oreb,148.41377210617065
two_pt_pct,134.46281003952026
stl_rate,131.68169593811035
FTA,130.97250366210938
ppg,130.77290153503418
rimmade_plus_rimmiss,125.69517993927002
ft_pct,125.5245008468628
drpg,121.36146831512451
TS_per_improvement,108.15619850158691
midmade,91.82086849212646
blk_per,90.46662902832031
efg_pct,89.43810176849365
rpg,83.4601001739502
mp,72.49102926254272
Unnamed_65,72.15110206604004
mpg,69.96700286865234
ft_rate,63.05699920654297
treb,48.293100357055664
defensive_rating,42.075599670410156
adj_defensive_rating,42.07270050048828
pos_Wing_G,41.319698333740234
pos_Combo_G,31.43440055847168
ts_pct,25.947529792785645
pos_C,23.609699249267578
blk_rate,23.095300674438477
is_sophomore,19.379600524902344
pos_Wing_F,18.26799964904785
drb_rate,14.407099723815918
is_major_conf,12.707500457763672
is_freshman,6.229569911956787
games_played_pct,0.0
scoring_versatility,0.0
is_starter,0.0
is_junior,0.0
pos_Scoring_PG,0.0
pos_Pure_PG,0.0
pos_PF_div_C,0.0
orb_rate,0.0
three_pt_pct,0.0
pos_Stretch_4,0.0
