player_name_clean,year,team,conf,yr,Unnamed_64,was_drafted,draft_pick,is_diamond,raptor_total_mean,war_total_sum,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,num,porpag,adjoe,pfr,year_1,Rec_Rank,ast_tov,rimmade,rimmade_rimmiss,midmade,midmade_midmiss,rimmade_rimmade_rimmiss,midmade_midmade_midmiss,dunksmade,dunksmiss_dunksmade,dunksmade_dunksmade_dunksmiss,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed_65,pts_improvement,pts_total_improvement,treb_improvement,treb_total_improvement,ast_improvement,ast_total_improvement,TS_per_improvement,TS_per_total_improvement,bpm_improvement,bpm_total_improvement,Min_per_improvement,Min_per_total_improvement,usg_improvement,usg_total_improvement,pts_career_avg,treb_career_avg,ast_career_avg,TS_per_career_avg,bpm_career_avg,Min_per_career_avg,usg_career_avg,years_in_college,ppg,rpg,apg,spg,bpg,orpg,drpg,per,tsa,usage_rate,ast_to_ratio,offensive_rating,ts_pct,efg_pct,two_pt_pct,two_pt_rate,three_pt_pct,three_pt_rate,three_pt_made_per_game,ft_pct,ft_rate,ft_made_per_game,rim_pct,mid_pct,dunk_pct,orb_rate,drb_rate,total_reb_rate,reb_dominance,stl_rate,blk_rate,defensive_rating,adj_defensive_rating,defensive_contrib,height_inches,class_year_numeric,is_freshman,is_sophomore,is_junior,is_senior,years_played,is_major_conf,conf_avg_offense,conf_avg_defense,conf_avg_bpm,pos_C,pos_Combo_G,pos_PF_C,pos_Pure_PG,pos_Scoring_PG,pos_Stretch_4,pos_Wing_F,pos_Wing_G,games_played_pct,is_starter,mpg,total_minutes,scoring_versatility,well_rounded_score,efficiency_composite,predicted_drafted_proba,predicted_drafted,predicted_pick,model_predicted_low,is_model_diamond
Anthony Davis Jr,2020,Arkansas Pine Bluff,SWAC,So,Combo G,1,1.0,False,4.82570621272859,82.04976233612264,2,0.4,200.0,6.6,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0.0,0.0,0.0,5.0,0.763419,173.343,0.0,2020,55.6,0.0,1.0,1.0,0.0,0.0,1.0,0.3333,0.0,0.0,1.0,112.333,112.711,0.126917,0.453586,-4.83566,-0.923234,-3.91243,5.17732,2.6667,4.50374,0.673581,0.0,0.0,0.0,0.0,0.0,0.0,1.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333,0.0,0.0,100.0,-4.83566,0.4,6.6,1,0.66665,0.0,0.0,0.0,0.0,0.0,0.0,1.6460493827160492,1.0,6.6,0.0,200.0,100.0,100.0,1.0,0.99009900990099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.333,112.711,0.0,76.0,2.0,0,1,0,0,1,0,76.77796961988506,109.67256494252874,-6.900971059099617,0,1,0,0,0,0,0,0,0.0571428571428571,0,0.4,0.8,1,0.0066665,0.4194056666666667,0.002891256812796294,0,38.482228052364924,True,True
Austin Reaves,2021,Oklahoma,B12,Sr,Combo G,0,29.0,True,0.4129260058122228,0.2238556962294207,25,78.7,110.9,28.4,49.4,57.88,2.8,15.1,27.0,17.7,147,170,0.865,107,209,0.512,32,105,0.305,1.0,1.5,54.1,12.0,5.15228,128.965,1.9,2021,55.6,1.54666662,59.0,96.0,48.0,113.0,0.6146,0.4248,2.0,3.0,0.6667,101.794,96.7477,3.59621,153.335,5.74304,4.89766,0.845381,6.36497,34.48,5.54387,0.821101,0.84,4.64,5.48,4.64,0.92,0.32,18.28,7.05509,3.570300000000002,14.2194,0.1897000000000002,3.6921,1.6399999999999997,3.5187999999999997,5.8700000000000045,-6.189999999999991,1.9135799999999996,-1.9230800000000008,-4.3999999999999915,50.8,2.799999999999997,12.9,11.2853,3.91985,2.697875,59.1075,5.5309,60.724999999999994,21.575,4,0.7312000000000001,0.2192,0.1856,0.0368,0.0128,0.0336,0.1856,0.0150647264816951,388.8,28.4,1.5254237288135597,110.9,57.88,49.4,0.512,0.6655838986019553,0.305,0.3343842552784943,1.28,0.865,54.1,5.88,0.6146,0.4248,0.6667,2.8,15.1,17.9,0.0027852604828462,1.5,1.0,101.794,96.7477,0.0496,76.0,4.0,0,0,0,1,4,1,99.40220383513908,95.92017496339678,1.3750968510980963,0,1,0,0,0,0,0,0,0.7142857142857143,1,78.7,1967.5,2,0.02408,0.6248088587570623,0.06617691328336728,0,,True,True
Ayo Dosunmu,2021,Illinois,B10,Jr,Combo G,1,38.0,True,4.895107822037483,0.2952210183947814,28,78.4,110.8,29.4,52.6,56.64,3.9,15.8,29.2,18.0,112,143,0.783,178,347,0.513,32,83,0.386,0.6,1.8,33.3,11.0,5.51004,131.045,2.4,2021,93.8,1.58065879,113.0,173.0,65.0,175.0,0.6532,0.3714,10.0,10.0,1.0,95.7054,88.8015,4.62736,194.087,8.56789,5.21167,3.35622,8.2811,35.1429,5.92089,2.36021,1.1071,5.2143,6.3214,5.25,1.1071,0.2143,20.1429,4.72946,3.5428999999999995,6.330400000000001,1.988099999999999,2.3213999999999997,1.9167,2.0,2.4299999999999997,3.910000000000004,4.2027600000000005,4.79063,-3.1999999999999886,3.6000000000000085,3.8999999999999986,5.599999999999998,16.8518,4.8849,3.944433333333333,54.526666666666664,5.570093333333333,78.26666666666667,26.233333333333334,3,0.7193892857142857,0.2257642857142857,0.1875,0.0395392857142857,0.0076535714285714,0.0395392857142857,0.186225,0.0150489930348349,492.92,29.4,1.6222222222222222,110.8,56.64,52.6,0.513,0.8069579777214484,0.386,0.1930187670054184,1.1428571428571428,0.783,33.3,4.0,0.6532,0.3714,1.0,3.9,15.8,19.7,0.0028796465014577,1.8,0.6,95.7054,88.8015,0.0471928571428571,76.0,3.0,0,0,1,0,3,1,95.86980244727272,94.40784193939392,1.5600026573333332,0,1,0,0,0,0,0,0,0.8,1,78.4,2195.2000000000003,3,0.0239284642857142,0.6785117469135802,0.9253099382496679,1,30.6611967847979,True,True
Charles Brown III,2019,Incarnate Word,Slnd,Sr,Wing G,0,29.0,True,6.350950023,0.189185564,25,53.2,104.6,23.6,59.0,62.49,3.2,13.3,9.9,21.0,44,51,0.863,82,132,0.621,22,63,0.349,0.0,1.5,26.2,13.0,1.58407,107.328,4.8,2019,55.6,0.46154704,56.0,79.0,26.0,53.0,0.7089,0.4906,2.0,2.0,1.0,118.539,120.522,0.71246,85.6866,-5.39664,-0.166992,-5.22965,-3.6545,22.0345,-0.148018,-3.50649,0.4828,2.2069,2.6897,0.8276,0.5172,0.0,10.7931,6.51099,-2.706899999999999,-2.706899999999999,-2.5026,-2.5026,-0.3646999999999999,-0.3646999999999999,7.609999999999999,7.609999999999999,-0.80417,-0.80417,-20.200000000000003,-20.200000000000003,0.8000000000000007,0.8000000000000007,12.14655,3.941,1.00995,58.685,-4.994555,63.3,23.200000000000003,2,0.431724,0.107588,0.033104,0.0206879999999999,0.0,0.019312,0.088276,0.0111484876053563,217.44,23.6,0.4714285714285714,104.6,62.49,59.0,0.621,0.6768883646992462,0.349,0.3230603558791857,0.88,0.863,26.2,1.76,0.7089,0.4906,1.0,3.2,13.3,16.5,0.0020223308270676,1.5,0.0,118.539,120.522,0.0206879999999999,76.0,4.0,0,0,0,1,2,0,85.29455799506293,107.57405367248062,-4.563291830590513,0,0,0,0,0,0,0,1,0.7142857142857143,1,53.2,1330.0,2,0.00986196,0.337403619047619,0.0023997605980935954,0,,True,True
Chris Duarte,2021,Oregon,P12,Sr,Wing G,1,13.0,False,0.5356305232724412,0.4660907187742597,26,79.1,120.2,22.5,63.3,65.73,2.8,14.0,14.9,17.5,64,79,0.81,99,157,0.631,61,144,0.424,2.8,3.3,26.2,5.0,5.38025,130.756,1.6,2021,52.8,1.15256477,63.0,90.0,36.0,67.0,0.7,0.5373,14.0,15.0,0.9333,98.5419,92.1947,4.14586,179.834,9.33922,6.49636,2.84286,10.4076,34.0769,7.4533,2.95432,0.7692,3.8846,4.6538,2.6154,1.9231,0.8077,17.1154,9.56741,4.222500000000002,4.222500000000002,-0.9532999999999996,-0.9532999999999996,0.9725,0.9725,12.810000000000002,12.810000000000002,3.1900299999999993,3.1900299999999993,12.899999999999991,12.899999999999991,-0.1999999999999993,-0.1999999999999993,15.00415,5.13045,2.12915,59.325,7.744204999999999,72.65,22.6,2,0.6582846153846155,0.1789923076923077,0.1005923076923077,0.0739653846153846,0.0310653846153846,0.0295846153846153,0.1494076923076923,0.0131845123771643,335.76,22.5,0.8514285714285714,120.2,65.73,63.3,0.631,0.5215773562340121,0.424,0.4783894222783296,2.3461538461538463,0.81,26.2,2.4615384615384617,0.7,0.5373,0.9333,2.8,14.0,16.8,0.0022628610327725,3.3,2.8,98.5419,92.1947,0.1050307692307692,76.0,4.0,0,0,0,1,2,1,94.08093363381712,98.21150253991291,0.1192216822496371,0,0,0,0,0,0,0,1,0.7428571428571429,1,79.1,2056.6,3,0.0246894615384615,0.6360235079365079,0.822264221346439,1,30.260917585479344,True,True
Cody Martin,2019,Nevada,MWC,Sr,Scoring PG,1,36.0,True,1.6896050603501969,4.090116068429047,34,86.1,119.0,18.4,56.4,59.58,3.0,11.1,25.6,16.7,74,97,0.763,117,203,0.576,34,95,0.358,2.3,2.2,32.6,11.0,3.59768,117.562,2.9,2019,85.6,2.57803864,73.0,102.0,44.0,101.0,0.7157,0.4356,14.0,15.0,0.9333,95.2508,93.9723,4.24096,231.781,6.17052,3.51245,2.65807,6.08489,34.4412,3.0644,3.02049,0.9118,3.5294,4.4412,4.8529,1.3529,0.7059,12.0588,4.54837,-1.9968000000000004,8.637699999999999,-1.8087999999999995,2.4412000000000003,0.1585,3.6424,2.6999999999999957,11.129999999999995,-1.6141899999999998,1.8332799999999991,0.5,71.19999999999999,-3.1000000000000014,-3.8000000000000007,8.89145,4.2637,3.257625,53.7375,5.550195,62.625,19.35,4,0.3546705882352941,0.1306235294117647,0.1427323529411764,0.0397911764705882,0.0207617647058823,0.0268176470588235,0.1038058823529411,0.0079974106804308,340.68,18.4,1.532934131736527,119.0,59.58,56.4,0.576,0.6811851951276803,0.358,0.3187812489513775,1.0,0.763,32.6,2.176470588235294,0.7157,0.4356,0.9333,3.0,11.1,14.1,0.0015171141627382,2.2,2.3,95.2508,93.9723,0.0605529411764705,76.0,4.0,0,0,0,1,4,1,92.93598795833331,100.93951789617486,-1.2958425583333335,0,0,0,0,1,0,0,0,0.9714285714285714,1,86.1,2927.3999999999996,3,0.0179237647058823,0.6384346813040586,0.4522741039671252,0,43.40136896666889,True,True
Corey Kispert,2021,Gonzaga,WCC,Sr,Wing G,1,15.0,False,1.510660061941762,0.1099096320946207,32,79.2,131.2,20.7,64.4,67.38,3.8,13.9,9.0,10.7,86,98,0.878,118,188,0.628,91,207,0.44,1.4,1.5,24.8,24.0,5.75645,137.606,2.1,2021,79.0,1.38095238,98.0,130.0,20.0,58.0,0.7538,0.3448,9.0,9.0,1.0,95.9101,91.98,3.87892,196.228,9.90794,8.1101,1.79784,10.4287,31.8125,8.80165,1.62708,0.9375,4.0312,4.9688,1.8125,0.9062,0.4375,18.5938,10.8954,4.715000000000002,11.850900000000005,0.9991,1.7973999999999997,-0.3087,1.0696,5.299999999999997,9.569999999999991,3.33599,6.13239,-2.8999999999999915,33.900000000000006,3.5,4.899999999999999,11.810625,4.047750000000001,1.432675,61.48,6.7599350000000005,67.975,16.825,4,0.58105625,0.155275,0.056640625,0.02831875,0.013671875,0.029296875,0.125975,0.0105424142108025,438.12,20.7,0.8411214953271029,131.2,67.38,64.4,0.628,0.4759373180425812,0.44,0.5240373661426293,2.84375,0.878,24.8,2.6875,0.7538,0.3448,1.0,3.8,13.9,17.7,0.0019605429292929,1.5,1.4,95.9101,91.98,0.041990625,76.0,4.0,0,0,0,1,4,1,88.87587890690185,101.67666042944784,-1.8270555521165643,0,0,0,0,0,0,0,1,0.9142857142857144,1,79.2,2534.4,3,0.01538075,0.6498569439252336,0.8192043204196704,1,37.29804940593738,True,True
Dalano Banton,2021,Nebraska,B10,So,Stretch 4,1,46.0,True,3.526804219833936,0.29813018022053,26,68.4,92.6,22.8,44.6,48.63,3.7,18.4,27.5,21.9,56,84,0.667,66,133,0.496,19,79,0.241,3.6,1.9,39.6,45.0,1.5723,101.812,3.1,2021,81.8,1.56715703,44.0,73.0,22.0,60.0,0.6027,0.3667,3.0,5.0,0.6,100.274,92.6329,3.28808,153.221,4.53524,0.503364,4.03187,3.9687,27.2593,1.32237,2.64633,1.0,4.8889,5.8889,3.8889,0.963,0.9259,9.5556,6.0565,6.1685,6.1685,2.9212,2.9212,1.7921,1.7921,2.039999999999999,2.039999999999999,5.67035,5.67035,34.400000000000006,34.400000000000006,3.1999999999999993,3.1999999999999993,6.47135,4.4283,2.99285,47.61,1.700065,51.2,21.200000000000003,2,0.3675230769230769,0.2264961538461538,0.1495730769230769,0.0370384615384615,0.0356115384615384,0.0384615384615384,0.1880346153846153,0.011933299970198,248.96,22.8,1.2557077625570776,92.6,48.63,44.6,0.496,0.6273288995802085,0.241,0.3726239328333569,0.7307692307692307,0.667,39.6,2.1538461538461537,0.6027,0.3667,0.6,3.7,18.4,22.1,0.0033113472784525,1.9,3.6,100.274,92.6329,0.0726499999999999,76.0,2.0,0,1,0,0,2,1,95.86980244727272,94.40784193939392,1.5600026573333332,0,0,0,0,0,1,0,0,0.7428571428571429,1,68.4,1778.4,1,0.0214530769230769,0.5438770847285642,0.7452183191155612,1,44.21999532161048,True,True
Dylan Windler,2019,Belmont,OVC,Sr,Stretch 4,1,26.0,False,3.434268681738883,0.3787745849989644,32,83.7,126.6,24.7,64.9,68.03,6.8,27.2,13.4,13.6,115,135,0.852,142,215,0.66,97,228,0.425,1.7,2.4,30.5,3.0,5.25538,132.684,2.5,2019,55.6,1.21741839,113.0,152.0,24.0,57.0,0.7434,0.4211,28.0,28.0,1.0,94.7661,95.1894,3.9822,266.556,8.87444,6.81153,2.06292,10.4638,33.1818,8.79956,1.66421,1.9394,8.8788,10.8182,2.5455,1.4242,0.5758,21.2727,11.3957,3.9697,16.8856,1.5151999999999983,6.334299999999999,-0.1817999999999999,1.61,1.2000000000000028,10.840000000000003,1.2827000000000002,5.97582,-4.799999999999997,37.7,2.099999999999998,11.0,13.032375000000002,7.726274999999999,1.952075,64.375,6.41841,73.675,18.75,4,0.664771875,0.33806875,0.079546875,0.04450625,0.01799375,0.06060625,0.2774625,0.0136784136857314,502.4,24.7,0.9852941176470588,126.6,68.03,64.9,0.66,0.4853163585472111,0.425,0.5146610685989029,3.03125,0.852,30.5,3.59375,0.7434,0.4211,1.0,6.8,27.2,34.0,0.0040390531660692,2.4,1.7,94.7661,95.1894,0.0625,76.0,4.0,0,0,0,1,4,0,87.08929734603691,107.31604358695652,-4.117055981107492,0,0,0,0,0,1,0,0,0.9142857142857144,1,83.7,2678.4,3,0.02284096875,0.6508177908496732,0.8732058986750129,1,35.69014488640793,True,True
Garrison Mathews,2019,Lipscomb,ASun,Sr,Wing G,0,29.0,True,2.7999503354999997,2.8614461330000003,35,74.6,113.9,28.4,55.6,61.58,2.6,17.4,12.9,14.3,180,210,0.857,99,202,0.49,112,278,0.403,0.9,1.4,43.8,24.0,4.03519,126.444,2.5,2019,55.6,0.85366837,55.0,97.0,43.0,104.0,0.567,0.4135,6.0,6.0,1.0,97.241,97.8277,3.27393,210.111,4.14348,4.54479,-0.401311,6.59808,29.2432,6.43014,0.167943,0.6757,4.6486,5.3243,1.8919,0.8108,0.2432,20.3243,14.3122,-1.3423999999999978,9.0985,-0.1302000000000003,1.8082000000000005,0.1342999999999998,0.4079999999999999,0.019999999999996,6.509999999999998,0.6077400000000002,3.938616,-1.4000000000000057,23.09999999999999,0.8999999999999986,3.0,18.39795,4.972175,1.85365,59.5225,2.4829435,70.325,27.225,4,0.5806942857142857,0.1521228571428571,0.0540542857142857,0.0231657142857142,0.0069485714285714,0.0193057142857142,0.1328171428571428,0.0109515091861003,572.4,28.4,0.902097902097902,113.9,61.58,55.6,0.49,0.4208245661548718,0.403,0.5791546009458136,3.2,0.857,43.8,5.142857142857143,0.567,0.4135,1.0,2.6,17.4,20.0,0.0020391803906549,1.4,0.9,97.241,97.8277,0.0301142857142857,76.0,4.0,0,0,0,1,4,0,82.50828812639517,107.19042009063445,-5.135093121206637,0,0,0,0,0,0,0,1,1.0,1,74.6,2611.0,3,0.014023,0.5412244335664336,0.14344092765028266,0,,True,True
