player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key,college_clean
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,Cade Cunningham,Cade Cunningham_2021,Oklahoma St.
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,Jalen Green,Jalen Green_2021,Ignite (G League)
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,Evan Mobley,Evan Mobley_2021,Southern California
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,Scottie Barnes,Scottie Barnes_2021,Florida St.
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,Jalen Suggs,Jalen Suggs_2021,Gonzaga
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,Josh Giddey,Josh Giddey_2021,NBA Global Academy (Australia)
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7,Jonathan Kuminga,Jonathan Kuminga_2021,Ignite (G League)
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8,Franz Wagner,Franz Wagner_2021,Michigan
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9,Davion Mitchell,Davion Mitchell_2021,Baylor
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10,Ziaire Williams,Ziaire Williams_2021,Stanford
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11,James Bouknight,James Bouknight_2021,Connecticut
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12,Joshua Primo,Joshua Primo_2021,Alabama
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13,Chris Duarte,Chris Duarte_2021,Oregon
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14,Moses Moody,Moses Moody_2021,Arkansas
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15,Corey Kispert,Corey Kispert_2021,Gonzaga
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16,Alperen Sengun,Alperen Sengun_2021,Besiktas (Turkey)
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17,Trey Murphy Iii,Trey Murphy Iii_2021,Virginia
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18,Tre Mann,Tre Mann_2021,Florida
Kai Jones,New York Knicks,Texas,2021,1,19,19,Kai Jones,Kai Jones_2021,Texas
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20,Jalen Johnson,Jalen Johnson_2021,Duke
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21,Keon Johnson,Keon Johnson_2021,Tennessee
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22,Isaiah Jackson,Isaiah Jackson_2021,Kentucky
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23,Usman Garuba,Usman Garuba_2021,Madrid (ESP)
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24,Josh Christopher,Josh Christopher_2021,Arizona St.
Quentin Grimes,LA Clippers,Houston,2021,1,25,25,Quentin Grimes,Quentin Grimes_2021,Houston
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26,Bones Hyland,Bones Hyland_2021,Virginia Commonwealth
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27,Cam Thomas,Cam Thomas_2021,Louisiana Tech
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28,Jaden Springer,Jaden Springer_2021,Tennessee
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29,Day'Ron Sharpe,Day'Ron Sharpe_2021,North Carolina
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30,Santi Aldama,Santi Aldama_2021,Loyola Marymount
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31,Isaiah Todd,Isaiah Todd_2021,Ignite (G League)
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32,Jeremiah Robinson-Earl,Jeremiah Robinson-Earl_2021,Villanova
Jason Preston,Orlando Magic,Ohio,2021,2,3,33,Jason Preston,Jason Preston_2021,Ohio
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34,Rokas Jokubaitis,Rokas Jokubaitis_2021,BC Zalgiris (Lithuania)
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35,Herbert Jones,Herbert Jones_2021,Alabama
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36,Miles McBride,Miles McBride_2021,West Virginia
JT Thor,Detroit Pistons,Auburn,2021,2,7,37,Jt Thor,Jt Thor_2021,Auburn
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38,Ayo Dosunmu,Ayo Dosunmu_2021,Illinois
Neemias Queta,Sacramento Kings,Utah State,2021,2,9,39,Neemias Queta,Neemias Queta_2021,Utah St.
Jared Butler,Sacramento Kings,Baylor,2021,2,10,40,Jared Butler,Jared Butler_2021,Baylor
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41,Joe Wieskamp,Joe Wieskamp_2021,Iowa
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42,Isaiah Livers,Isaiah Livers_2021,Michigan
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43,Greg Brown Iii,Greg Brown Iii_2021,Texas
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44,Kessler Edwards,Kessler Edwards_2021,Pepperdine
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45,Juhann Begarin,Juhann Begarin_2021,Paris (France)
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46,Dalano Banton,Dalano Banton_2021,Nebraska
David Johnson,Toronto Raptors,Louisville,2021,2,17,47,David Johnson,David Johnson_2021,Louisville
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48,Sharife Cooper,Sharife Cooper_2021,Auburn
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49,Marcus Zegarowski,Marcus Zegarowski_2021,Creighton
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50,Filip Petrusev,Filip Petrusev_2021,KK Mega Leks (Serbia)
Brandon Boston Jr.,Memphis Grizzlies,Kentucky,2021,2,21,51,Brandon Boston Jr,Brandon Boston Jr_2021,Kentucky
Luka Garza,Detroit Pistons,Iowa,2021,2,22,52,Luka Garza,Luka Garza_2021,Iowa
Charles Bassey,Philadelphia 76ers,Western Kentucky,2021,2,23,53,Charles Bassey,Charles Bassey_2021,Western Kentucky
Sandro Mamukelashvili,Indiana Pacers,Seton Hall,2021,2,24,54,Sandro Mamukelashvili,Sandro Mamukelashvili_2021,Seton Hall
Aaron Wiggins,Oklahoma City Thunder,Maryland,2021,2,25,55,Aaron Wiggins,Aaron Wiggins_2021,Maryland
Scottie Lewis,Charlotte Hornets,Florida,2021,2,26,56,Scottie Lewis,Scottie Lewis_2021,Florida
Balsa Koprivica,Charlotte Hornets,Florida State,2021,2,27,57,Balsa Koprivica,Balsa Koprivica_2021,Florida St.
Jericho Sims,New York Knicks,Texas,2021,2,28,58,Jericho Sims,Jericho Sims_2021,Texas
RaiQuan Gray,Brooklyn Nets,Florida State,2021,2,29,59,Raiquan Gray,Raiquan Gray_2021,Florida St.
Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),2021,2,30,60,Georgios Kalaitzakis,Georgios Kalaitzakis_2021,BC Nevezis (Greece)
Anthony Edwards,Minnesota Timberwolves,Georgia,2020,1,1,1,Anthony Edwards,Anthony Edwards_2020,Georgia
James Wiseman,Golden State Warriors,Memphis,2020,1,2,2,James Wiseman,James Wiseman_2020,Memphis
LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3,3,Lamelo Ball,Lamelo Ball_2020,Illawarra (Australia)
Patrick Williams,Chicago Bulls,Florida State,2020,1,4,4,Patrick Williams,Patrick Williams_2020,Florida St.
Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5,5,Isaac Okoro,Isaac Okoro_2020,Auburn
Onyeka Okongwu,Atlanta Hawks,Southern California,2020,1,6,6,Onyeka Okongwu,Onyeka Okongwu_2020,Southern California
Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7,Killian Hayes,Killian Hayes_2020,Ratiopharm Ulm (Germany)
Obi Toppin,New York Knicks,Dayton,2020,1,8,8,Obi Toppin,Obi Toppin_2020,Dayton
Deni Avdija,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9,9,Deni Avdija,Deni Avdija_2020,Maccabi Tel Aviv B.C. (Israel)
Jalen Smith,Phoenix Suns,Maryland,2020,1,10,10,Jalen Smith,Jalen Smith_2020,Maryland
Devin Vassell,San Antonio Spurs,Florida State,2020,1,11,11,Devin Vassell,Devin Vassell_2020,Florida St.
Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12,12,Tyrese Haliburton,Tyrese Haliburton_2020,Iowa St.
Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13,13,Kira Lewis Jr,Kira Lewis Jr_2020,Alabama
Aaron Nesmith,Boston Celtics,Vanderbilt,2020,1,14,14,Aaron Nesmith,Aaron Nesmith_2020,Vanderbilt
Cole Anthony,Orlando Magic,North Carolina,2020,1,15,15,Cole Anthony,Cole Anthony_2020,North Carolina
Isaiah Stewart,Portland Trail Blazers,Washington,2020,1,16,16,Isaiah Stewart,Isaiah Stewart_2020,Washington
Aleksej Pokusevski,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17,17,Aleksej Pokusevski,Aleksej Pokusevski_2020,Olympiacos B.C. (Greece)
Josh Green,Dallas Mavericks,Arizona,2020,1,18,18,Josh Green,Josh Green_2020,Arizona
Saddiq Bey,Brooklyn Nets,Villanova,2020,1,19,19,Saddiq Bey,Saddiq Bey_2020,Villanova
