player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,Cade Cunningham,Cade Cunningham_2021
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,Jalen Green,Jalen Green_2021
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,Evan Mobley,Evan Mobley_2021
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,Scottie Barnes,Scottie Barnes_2021
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,Jalen Suggs,Jalen Suggs_2021
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,Josh Giddey,Josh Giddey_2021
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7,Jonathan Kuminga,Jonathan Kuminga_2021
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8,Franz Wagner,Franz Wagner_2021
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9,Davion Mitchell,Davion Mitchell_2021
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10,Ziaire Williams,Ziaire Williams_2021
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11,James Bouknight,James Bouknight_2021
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12,Joshua Primo,Joshua Primo_2021
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13,Chris Duarte,Chris Duarte_2021
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14,Moses Moody,Moses Moody_2021
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15,Corey Kispert,Corey Kispert_2021
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16,Alperen Sengun,Alperen Sengun_2021
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17,Trey Murphy Iii,Trey Murphy Iii_2021
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18,Tre Mann,Tre Mann_2021
Kai Jones,New York Knicks,Texas,2021,1,19,19,Kai Jones,Kai Jones_2021
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20,Jalen Johnson,Jalen Johnson_2021
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21,Keon Johnson,Keon Johnson_2021
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22,Isaiah Jackson,Isaiah Jackson_2021
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23,Usman Garuba,Usman Garuba_2021
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24,Josh Christopher,Josh Christopher_2021
Quentin Grimes,LA Clippers,Houston,2021,1,25,25,Quentin Grimes,Quentin Grimes_2021
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26,Bones Hyland,Bones Hyland_2021
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27,Cam Thomas,Cam Thomas_2021
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28,Jaden Springer,Jaden Springer_2021
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29,Day'Ron Sharpe,Day'Ron Sharpe_2021
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30,Santi Aldama,Santi Aldama_2021
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31,Isaiah Todd,Isaiah Todd_2021
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32,Jeremiah Robinson-Earl,Jeremiah Robinson-Earl_2021
Jason Preston,Orlando Magic,Ohio,2021,2,3,33,Jason Preston,Jason Preston_2021
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34,Rokas Jokubaitis,Rokas Jokubaitis_2021
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35,Herbert Jones,Herbert Jones_2021
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36,Miles McBride,Miles McBride_2021
JT Thor,Detroit Pistons,Auburn,2021,2,7,37,Jt Thor,Jt Thor_2021
