player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Chris Smith,2009,2021,11,320,8.99,13,False
Justin Robinson,2009,2020,10,300,12.86,12,False
Cameron Johnson,2009,2021,10,290,10.73,13,False
Josh Davis,2009,2019,10,296,8.26,11,False
Anthony Johnson,2009,2018,9,250,9.0,10,False
Jordan Williams,2010,2021,9,205,8.93,12,False
Justin Jackson,2009,2018,9,265,8.18,10,False
Kevin Johnson,2013,2021,9,261,7.2,9,False
Kendall Smith,2009,2018,9,144,5.86,10,False
Mike Smith,2009,2021,8,192,15.21,13,False
Alex Young,2009,2016,8,254,13.44,8,False
Cameron Jones,2009,2020,8,208,10.54,12,False
Antonio Green,2009,2020,8,226,10.19,12,False
Andre Jones,2009,2021,8,213,9.95,13,False
Josh Williams,2009,2020,8,228,9.57,12,False
Andre Walker,2009,2018,8,205,9.27,10,False
Aj Davis,2009,2018,8,231,9.23,10,False
Rodney Williams,2010,2017,8,245,9.15,8,False
Isiah Brown,2009,2021,8,239,9.07,13,False
Matt Wilson,2010,2020,8,207,7.52,11,False
Chris Martin,2009,2020,8,224,7.47,12,False
Chris Johnson,2009,2021,8,201,7.41,13,False
Ryan Pearson,2009,2019,8,219,7.4,11,False
Josh Brown,2010,2018,8,228,7.28,9,False
Anthony Brown,2009,2016,8,208,7.1,8,False
Chris Lewis,2009,2020,8,185,7.07,12,False
Shawn Williams,2010,2021,8,187,6.8,12,False
Andrew Smith,2009,2017,8,201,6.56,9,False
Aaron Thompson,2009,2021,8,193,6.52,13,False
Christian Williams,2010,2020,8,195,5.82,11,False
Terrell Allen,2011,2020,8,242,5.78,10,False
Matt Smith,2009,2021,8,218,5.63,13,False
Chris Jones,2010,2017,8,231,5.15,8,False
Terrell Brown,2013,2021,8,221,4.71,9,False
Anthony Thompson,2009,2017,8,202,4.37,9,False
Matt Johnson,2009,2021,8,145,4.3,13,False
Josh Thompson,2010,2020,8,201,3.75,11,False
Brandon Williams,2009,2019,8,150,3.02,11,False
Brandon Smith,2009,2018,8,217,2.48,10,False
Phillip Jones,2009,2020,8,92,2.4,12,False
Sam Martin,2010,2021,8,129,1.38,12,False
Chris Collins,2012,2019,8,120,1.29,8,False
Matt Morgan,2010,2019,7,198,15.28,10,False
Kevin Anderson,2009,2021,7,185,14.13,13,False
Deonte Burton,2011,2017,7,196,13.78,7,False
Tim Williams,2010,2017,7,191,12.41,8,False
Jajuan Johnson,2009,2017,7,221,11.88,9,False
Matt Howard,2009,2017,7,205,11.17,9,False
Xavier Johnson,2013,2021,7,212,10.94,9,False
Mike Williams,2009,2018,7,206,10.23,10,False
Brandon Johnson,2009,2021,7,163,10.06,13,False
James Johnson,2009,2015,7,194,9.74,7,False
Jalen Jones,2012,2019,7,216,9.6,8,False
Shaquille Johnson,2009,2016,7,208,9.57,8,False
Isaiah Williams,2014,2021,7,173,9.48,8,False
Robert Johnson,2009,2018,7,205,9.23,10,False
John Brown,2009,2019,7,174,9.03,11,False
Tyler Harris,2012,2021,7,210,9.01,10,False
Isaiah Thomas,2009,2019,7,209,8.85,11,False
Brandon Young,2011,2017,7,146,8.62,7,False
Justin Burrell,2009,2015,7,212,8.57,7,False
Andrew Jones,2009,2021,7,152,8.45,13,False
Gary Clark,2009,2018,7,224,8.36,10,False
Brian Williams,2009,2015,7,208,8.12,7,False
Michael Williams,2010,2017,7,191,8.1,8,False
Jordan Reed,2013,2019,7,147,7.86,7,False
Brian White,2014,2021,7,175,7.49,8,False
Jason Carter,2011,2021,7,157,7.44,11,False
Tyler Stone,2010,2017,7,192,7.08,8,False
Joe Burton,2010,2018,7,177,6.95,9,False
Robert Brown,2012,2021,7,148,6.91,10,False
Jordan McRae,2011,2018,7,136,6.72,8,False
Greg Smith,2009,2020,7,166,6.61,12,False
Greg Brown,2009,2016,7,184,6.46,8,False
Marcus Jackson,2009,2018,7,140,6.28,10,False
Jordan Johnson,2012,2020,7,188,6.08,9,False
Isaiah Washington,2015,2021,7,150,6.0,7,False
Brandon Davis,2009,2021,7,164,5.89,13,False
Justin Brown,2009,2021,7,174,5.84,13,False
Jonathan Holmes,2012,2019,7,148,5.62,8,False
Andrew Fleming,2009,2020,7,177,5.49,12,False
Austin Williams,2015,2021,7,184,5.39,7,False
Cj Jones,2013,2021,7,176,5.28,9,False
Austin Johnson,2009,2021,7,216,5.0,13,False
Jamal Johnson,2011,2021,7,213,4.76,11,False
Michael Ojo,2009,2017,7,218,4.54,9,False
Christian Jones,2013,2021,7,103,4.42,9,False
Isaiah Wilkins,2015,2021,7,214,4.27,7,False
Jeff Jones,2009,2017,7,122,4.09,9,False
Marcus Lee,2009,2018,7,163,3.99,10,False
Will Miller,2014,2020,7,197,3.65,7,False
Zach Brown,2010,2019,7,176,3.65,10,False
Josh Jones,2009,2015,7,181,3.51,7,False
Justin Jordan,2010,2019,7,108,3.05,10,False
Jordan Griffin,2010,2020,7,166,2.53,11,False
Ryan Taylor,2014,2019,6,180,14.33,6,False
Tyler Hall,2011,2019,6,148,14.07,9,False
Mike Scott,2009,2015,6,182,13.08,7,False
Jordan Miller,2009,2021,6,150,12.87,13,False
Tyler Nelson,2015,2021,6,173,12.67,7,False
Ryan Anderson,2009,2016,6,188,12.38,8,False
Jordan Davis,2011,2021,6,160,12.29,11,False
Marcus Thornton,2009,2015,6,192,12.2,7,False
Ryan Allen,2011,2021,6,162,12.05,11,False
Marvelle Harris,2011,2016,6,190,11.78,6,False
