original_name,standardized_name
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama St.,Alabama St.
Albany,Albany
Alcorn St.,Alcorn St.
American,American
Appalachian St.,Appalachian St.
Arizona,Arizona
Arizona St.,Arizona St.
Arizona State,Arizona St.
Arkansas,Arkansas
Arkansas Little Rock,Arkansas Little Rock
Arkansas Pine Bluff,Arkansas Pine Bluff
Arkansas St.,Arkansas St.
Army,Army
Auburn,Auburn
Austin Peay,Austin Peay
BYU,BYU
Ball St.,Ball St.
Baylor,Baylor
Belmont,Belmont
Bethune Cookman,Bethune Cookman
Binghamton,Binghamton
Boise St.,Boise St.
Boise State,Boise St.
Boston College,Boston College
Boston University,Boston University
Bowling Green,Bowling Green
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
Cal Baptist,Cal Baptist
Cal Poly,Cal Poly
Cal St. Bakersfield,Cal St. Bakersfield
Cal St. Fullerton,Cal St. Fullerton
Cal St. Northridge,Cal St. Northridge
California,California
California-Santa Barbara,UC Santa Barbara
Campbell,Campbell
Canisius,Canisius
Centenary,Centenary
Central Arkansas,Central Arkansas
Central Connecticut,Central Connecticut
Central Michigan,Central Michigan
Charleston Southern,Charleston Southern
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago St.,Chicago St.
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland St.,Cleveland St.
Cleveland State,Cleveland St.
Coastal Carolina,Coastal Carolina
Colgate,Colgate
College of Charleston,College of Charleston
Colorado,Colorado
Colorado St.,Colorado St.
Colorado State,Colorado St.
Columbia,Columbia
Connecticut,Connecticut
Coppin St.,Coppin St.
Cornell,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
DePaul,DePaul
Delaware,Delaware
Delaware St.,Delaware St.
Denver,Denver
Detroit,Detroit
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,East Carolina
East Tennessee St.,East Tennessee St.
Eastern Illinois,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Michigan,Eastern Michigan
Eastern Washington,Eastern Washington
Elon,Elon
Evansville,Evansville
FIU,FIU
Fairfield,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson
Florida,Florida
Florida A&M,Florida A&M
Florida Atlantic,Florida Atlantic
Florida Gulf Coast,Florida Gulf Coast
Florida St.,Florida St.
Florida State,Florida St.
Fordham,Fordham
Fresno St.,Fresno St.
Fresno State,Fresno St.
Furman,Furman
Gardner Webb,Gardner Webb
George Mason,George Mason
George Washington,George Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,Georgia Southern
Georgia St.,Georgia St.
Georgia State,Georgia St.
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grambling St.,Grambling St.
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Baptist
Howard,Howard
IPFW,IPFW
IUPUI,IUPUI
Idaho,Idaho
Idaho St.,Idaho St.
Illinois,Illinois
Illinois Chicago,Illinois Chicago
Illinois St.,Illinois St.
Incarnate Word,Incarnate Word
Indiana,Indiana
Indiana St.,Indiana St.
Iona,Iona
Iowa,Iowa
Iowa St.,Iowa St.
Iowa State,Iowa St.
Jackson St.,Jackson St.
Jacksonville,Jacksonville
Jacksonville St.,Jacksonville St.
James Madison,James Madison
Kansas,Kansas
Kansas St.,Kansas St.
Kansas State,Kansas St.
Kennesaw St.,Kennesaw St.
Kent St.,Kent St.
Kentucky,Kentucky
LIU Brooklyn,LIU Brooklyn
LSU,LSU
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
Little Rock,Little Rock
Long Beach St.,Long Beach St.
Long Beach State,Long Beach St.
Longwood,Longwood
Louisiana Lafayette,Louisiana Lafayette
Louisiana Monroe,Louisiana Monroe
Louisiana State,Louisiana Tech
Louisiana Tech,Louisiana Tech
Louisiana-Lafayette,Louisiana Lafayette
Louisville,Louisville
Loyola Chicago,Loyola Chicago
Loyola MD,Loyola MD
Loyola Marymount,Loyola Marymount
