team,year,ap_rank,kenpom_rank,team_clean
North Carolina,2009,1,,North Carolina
Connecticut,2009,2,,Connecticut
Pittsburgh,2009,3,,Pittsburgh
Memphis,2009,4,,Memphis
Louisville,2009,5,,Louisville
Missouri,2009,6,,Missouri
Oklahoma,2009,7,,Oklahoma
Gonzaga,2009,8,,Gonzaga
Michigan St.,2009,9,,Michigan St.
Duke,2009,10,,Duke
West Virginia,2009,11,,West Virginia
UCLA,2009,12,,UCLA
Villanova,2009,13,,Villanova
Kansas,2009,14,,Kansas
Arizona St.,2009,15,,Arizona St.
Syracuse,2009,16,,Syracuse
Washington,2009,17,,Washington
Purdue,2009,18,,Purdue
Marquette,2009,19,,Marquette
Xavier,2009,20,,Xavier
BYU,2009,21,,BYU
Texas,2009,22,,Texas
Clemson,2009,23,,Clemson
Wake Forest,2009,24,,Wake Forest
Illinois,2009,25,,Illinois
Oklahoma St.,2009,26,,Oklahoma St.
USC,2009,27,,USC
Utah,2009,28,,Utah
Wisconsin,2009,29,,Wisconsin
California,2009,30,,California
Georgetown,2009,31,,Georgetown
Tennessee,2009,32,,Tennessee
Baylor,2009,33,,Baylor
Ohio St.,2009,34,,Ohio St.
Florida,2009,35,,Florida
San Diego St.,2009,36,,San Diego St.
Arizona,2009,37,,Arizona
Butler,2009,38,,Butler
Florida St.,2009,39,,Florida St.
Minnesota,2009,40,,Minnesota
Notre Dame,2009,41,,Notre Dame
Miami FL,2009,42,,Miami FL
New Mexico,2009,43,,New Mexico
Utah St.,2009,44,,Utah St.
Texas A&M,2009,45,,Texas A&M
LSU,2009,46,,LSU
Michigan,2009,47,,Michigan
Kentucky,2009,48,,Kentucky
Washington St.,2009,49,,Washington St.
Temple,2009,50,,Temple
Kansas St.,2009,51,,Kansas St.
Stanford,2009,52,,Stanford
UAB,2009,53,,UAB
VCU,2009,54,,VCU
Maryland,2009,55,,Maryland
Saint Mary's,2009,56,,Saint Mary's
Penn St.,2009,57,,Penn St.
Tulsa,2009,58,,Tulsa
Auburn,2009,59,,Auburn
Illinois St.,2009,60,,Illinois St.
North Dakota St.,2009,61,,North Dakota St.
Rhode Island,2009,62,,Rhode Island
Nebraska,2009,63,,Nebraska
Davidson,2009,64,,Davidson
Northwestern,2009,65,,Northwestern
Cleveland St.,2009,66,,Cleveland St.
Siena,2009,67,,Siena
Creighton,2009,68,,Creighton
Mississippi St.,2009,69,,Mississippi St.
Houston,2009,70,,Houston
South Carolina,2009,71,,South Carolina
Virginia Tech,2009,72,,Virginia Tech
UNLV,2009,73,,UNLV
Boston College,2009,74,,Boston College
Niagara,2009,75,,Niagara
Seton Hall,2009,76,,Seton Hall
Providence,2009,77,,Providence
Dayton,2009,78,,Dayton
Green Bay,2009,79,,Green Bay
Vanderbilt,2009,80,,Vanderbilt
N.C. State,2009,81,,N.C. State
UTEP,2009,82,,UTEP
Northern Iowa,2009,83,,Northern Iowa
Vermont,2009,84,,Vermont
Duquesne,2009,85,,Duquesne
Cincinnati,2009,86,,Cincinnati
Iowa,2009,87,,Iowa
Western Kentucky,2009,88,,Western Kentucky
George Mason,2009,89,,George Mason
Oral Roberts,2009,90,,Oral Roberts
Miami OH,2009,91,,Miami OH
Mississippi,2009,92,,Mississippi
Old Dominion,2009,93,,Old Dominion
Texas Tech,2009,94,,Texas Tech
Akron,2009,95,,Akron
Wright St.,2009,96,,Wright St.
Northeastern,2009,97,,Northeastern
Georgia Tech,2009,98,,Georgia Tech
Saint Joseph's,2009,99,,Saint Joseph's
Alabama,2009,100,,Alabama
Stephen F. Austin,2009,101,,Stephen F. Austin
Oakland,2009,102,,Oakland
Nevada,2009,103,,Nevada
Virginia,2009,104,,Virginia
East Tennessee St.,2009,105,,East Tennessee St.
La Salle,2009,106,,La Salle
Cornell,2009,107,,Cornell
Cal St. Northridge,2009,108,,Cal St. Northridge
Portland,2009,109,,Portland
Pacific,2009,110,,Pacific
Oregon St.,2009,111,,Oregon St.
American,2009,112,,American
Iowa St.,2009,113,,Iowa St.
Richmond,2009,114,,Richmond
Belmont,2009,115,,Belmont
Weber St.,2009,116,,Weber St.
Tennessee Martin,2009,117,,Tennessee Martin
Portland St.,2009,118,,Portland St.
Buffalo,2009,119,,Buffalo
Bradley,2009,120,,Bradley
St. John's,2009,121,,St. John's
Jacksonville,2009,122,,Jacksonville
Sam Houston St.,2009,123,,Sam Houston St.
Kent St.,2009,124,,Kent St.
New Mexico St.,2009,125,,New Mexico St.
TCU,2009,126,,TCU
Arkansas,2009,127,,Arkansas
Evansville,2009,128,,Evansville
Illinois Chicago,2009,129,,Illinois Chicago
Wyoming,2009,130,,Wyoming
Murray St.,2009,131,,Murray St.
Drexel,2009,132,,Drexel
James Madison,2009,133,,James Madison
Wichita St.,2009,134,,Wichita St.
UCF,2009,135,,UCF
South Florida,2009,136,,South Florida
Santa Clara,2009,137,,Santa Clara
Massachusetts,2009,138,,Massachusetts
