Unnamed: 0,2022,Unnamed: 2,Unnamed: 3,2009
Rk,Team,,,nan
1,Virginia,,1,North Carolina
2,Gonzaga,,2,Connecticut
3,Michigan St.,,3,Pittsburgh
4,Duke,,4,Memphis
5,Texas Tech,,5,Louisville
6,Michigan,,6,Missouri
7,North Carolina,,7,Oklahoma
8,Kentucky,,8,Gonzaga
9,Purdue,,9,Michigan St.
10,Tennessee,,10,Duke
11,Auburn,,11,West Virginia
12,Houston,,12,UCLA
13,Virginia Tech,,13,Villanova
14,Florida St.,,14,Kansas
15,Iowa St.,,15,Arizona St.
16,Wisconsin,,16,Syracuse
17,Kansas,,17,Washington
18,Wofford,,18,Purdue
19,LSU,,19,Marquette
20,Kansas St.,,20,Xavier
21,Mississippi St.,,21,BYU
22,Buffalo,,22,Texas
23,Louisville,,23,Clemson
24,Maryland,,24,Wake Forest
25,Texas,,25,Illinois
26,Florida,,26,Oklahoma St.
27,Nevada,,27,USC
28,Oregon,,28,Utah
29,Cincinnati,,29,Wisconsin
30,Villanova,,30,California
31,Saint Mary's,,31,Georgetown
32,Oklahoma,,32,Tennessee
33,Marquette,,33,Baylor
34,UCF,,34,Ohio St.
35,Baylor,,35,Florida
36,Clemson,,36,San Diego St.
37,Iowa,,37,Arizona
38,Utah St.,,38,Butler
39,Syracuse,,39,Florida St.
40,TCU,,40,Minnesota
,,,,
,,,,
41,N.C. State,,41,Notre Dame
42,VCU,,42,Miami FL
43,Penn St.,,43,New Mexico
44,Ohio St.,,44,Utah St.
45,Lipscomb,,45,Texas A&M
46,Minnesota,,46,LSU
47,Nebraska,,47,Michigan
48,Washington,,48,Kentucky
49,Belmont,,49,Washington St.
50,Mississippi,,50,Temple
51,Murray St.,,51,Kansas St.
52,Indiana,,52,Stanford
53,New Mexico St.,,53,UAB
54,Arkansas,,54,VCU
55,Creighton,,55,Maryland
56,Memphis,,56,Saint Mary's
57,Arizona St.,,57,Penn St.
58,Liberty,,58,Tulsa
59,Furman,,59,Auburn
60,Seton Hall,,60,Illinois St.
61,Toledo,,61,North Dakota St.
62,Dayton,,62,Rhode Island
63,Colorado,,63,Nebraska
64,Alabama,,64,Davidson
65,Xavier,,65,Northwestern
66,Wichita St.,,66,Cleveland St.
67,San Francisco,,67,Siena
68,Missouri,,68,Creighton
69,Temple,,69,Mississippi St.
70,South Carolina,,70,Houston
71,Fresno St.,,71,South Carolina
72,Butler,,72,Virginia Tech
73,UC Irvine,,73,UNLV
74,Northwestern,,74,Boston College
75,Miami FL,,75,Niagara
76,Vermont,,76,Seton Hall
77,Yale,,77,Providence
78,Rutgers,,78,Dayton
79,Providence,,79,Green Bay
80,East Tennessee St.,,80,Vanderbilt
,,,,
,,,,
81,Oregon St.,,81,N.C. State
82,USC,,82,UTEP
83,Oklahoma St.,,83,Northern Iowa
84,Illinois,,84,Vermont
85,Davidson,,85,Duquesne
86,BYU,,86,Cincinnati
87,UNC Greensboro,,87,Iowa
88,St. John's,,88,Western Kentucky
89,Northeastern,,89,George Mason
90,San Diego,,90,Oral Roberts
91,Texas A&M,,91,Miami OH
92,South Dakota St.,,92,Mississippi
93,Hofstra,,93,Old Dominion
94,Arizona,,94,Texas Tech
95,West Virginia,,95,Akron
96,Northern Kentucky,,96,Wright St.
97,Notre Dame,,97,Northeastern
98,Connecticut,,98,Georgia Tech
99,South Florida,,99,Saint Joseph's
100,Georgetown,,100,Alabama
101,Pittsburgh,,101,Stephen F. Austin
102,UCLA,,102,Oakland
103,Georgia Southern,,103,Nevada
104,Utah Valley,,104,Virginia
105,Bowling Green,,105,East Tennessee St.
106,Saint Louis,,106,La Salle
107,SMU,,107,Cornell
